rID,genes,ec,reaction,kegg,reaction_form,Pathway,evid/relia,comment 
R177,sll1377,2.4.1.157,"UDP-glucose_[cyt] + 1,2-Diacyl-sn-glycerol_MGDG_[cyt] => UDP_[cyt] + 3-D-Glucosyl-1,2-diacylglycerol_MGDG_[cyt]",R02689,C00029_[cyt] + C00641_MGDG_[cyt] => C00015_[cyt] + C04046_MGDG_[cyt],Glycerolipid,B,Awai et al. 2006
R178,sll1377,2.4.1.157,"UDP-glucose_[cyt] + 1,2-Diacyl-sn-glycerol_DGDG_[cyt] => UDP_[cyt] + 3-D-Glucosyl-1,2-diacylglycerol_DGDG_[cyt]",R02689,C00029_[cyt] + C00641_DGDG_[cyt] => C00015_[cyt] + C04046_DGDG_[cyt],Glycerolipid,B,Awai et al. 2006
R179,-,-,"3-D-Glucosyl-1,2-diacylglycerol_MGDG_[cyt] <=> 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol_MGDG_[cyt]",-,C04046_MGDG_[cyt] <=> C03692_MGDG_[cyt],Glycerolipid,E,"unknown epimerase, Awai et al. 2006"
R180,-,-,"3-D-Glucosyl-1,2-diacylglycerol_DGDG_[cyt] <=> 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol_DGDG_[cyt]",-,C04046_DGDG_[cyt] <=> C03692_DGDG_[cyt],Glycerolipid,E,"unknown epimerase, Awai et al. 2006"
R181,slr1508,2.4.1.184,"2 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol_DGDG_[cyt] => Digalactosyl-diacylglycerol_DGDG_[cyt] + 1,2-Diacyl-sn-glycerol_DGDG_[cyt]",R04472,2 C03692_DGDG_[cyt] => C06037_DGDG_[cyt] + C00641_DGDG_[cyt],Glycerolipid,B,Awai et al. 2007
R182,slr1348,2.3.1.30,L-Serine_[cyt] + Acetyl-CoA_[cyt] => O-Acetyl-L-serine_[cyt] + CoA_[cyt],R00586,C00065_[cyt] + C00024_[cyt] => C00979_[cyt] + C00010_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R183,sll0712,2.5.1.47,O-Acetyl-L-serine_[cyt] + Hydrogen sulfide_[cyt] => L-Cysteine_[cyt] + Acetate_[cyt],R00897,C00979_[cyt] + C00283_[cyt] => C00097_[cyt] + C00033_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R184,slr1842,2.5.1.47,O-Acetyl-L-serine_[cyt] + Hydrogen sulfide_[cyt] => L-Cysteine_[cyt] + Acetate_[cyt],R00897,C00979_[cyt] + C00283_[cyt] => C00097_[cyt] + C00033_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R185,slr1165,2.7.7.4,ATP_[cyt] + Sulfate_[cyt] => Diphosphate_[cyt] + Adenylyl sulfate_[cyt],R00529,C00002_[cyt] + C00059_[cyt] => C00013_[cyt] + C00224_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R186,slr0676,2.7.1.25,ATP_[cyt] + Adenylyl sulfate_[cyt] => ADP_[cyt] + 3'-Phosphoadenylyl sulfate_[cyt],R00509,C00002_[cyt] + C00224_[cyt] => C00008_[cyt] + C00053_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R187,slr1791,1.8.4.8,"Thioredoxin_[cyt] + 3'-Phosphoadenylyl sulfate_[cyt] => Thioredoxin disulfide_[cyt] + Sulfite_[cyt] + Adenosine 3',5'-bisphosphate_[cyt]",R02021,C00342_[cyt] + C00053_[cyt] => C00343_[cyt] + C00094_[cyt] + C00054_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R188,sll0895,3.1.3.7,"Adenosine 3',5'-bisphosphate_[cyt] + H2O_[cyt] => AMP_[cyt] + Orthophosphate_[cyt]",R00188,C00054_[cyt] + C00001_[cyt] => C00020_[cyt] + C00009_[cyt],"Cysteine, Glycine, Methionine and Serine",D,"sll0895 is coding for CysQ, which is annotated in many organisms for 3.1.3.7"
R189,slr0963,1.8.7.1,Hydrogen sulfide_[cyt] + 6 Oxidized ferredoxin_[cyt] + 3 H2O_[cyt] <= Sulfite_[cyt] + 6 Reduced ferredoxin_[cyt] + 6 H+_[cyt],R00859,C00283_[cyt] + 6 C00139_[cyt] + 3 C00001_[cyt] <= C00094_[cyt] + 6 C00138_[cyt] + 6 C00080_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R190,slr2072,4.3.1.19,L-Serine_[cyt] => Pyruvate_[cyt] + NH3_[cyt],R00220,C00065_[cyt] => C00022_[cyt] + C00014_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R191,sll1931,2.1.2.1,"5,10-Methylenetetrahydrofolate_[cyt] + Glycine_[cyt] + H2O_[cyt] <=> Tetrahydrofolate_[cyt] + L-Serine_[cyt]",R00945,C00143_[cyt] + C00037_[cyt] + C00001_[cyt] <=> C00101_[cyt] + C00065_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R192,"sll0171, slr0293, slr0879",2.1.2.10,"Glycine_[cyt] + Tetrahydrofolate_[cyt] + NAD+_[cyt] => 5,10-Methylenetetrahydrofolate_[cyt] + NH3_[cyt] + CO2_[cyt] + NADH_[cyt] + H+_[cyt]",R01221,C00037_[cyt] + C00101_[cyt] + C00003_[cyt] => C00143_[cyt] + C00014_[cyt] + C00011_[cyt] + C00004_[cyt] + C00080_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R193,slr0212,2.1.1.13,5-Methyltetrahydrofolate_[cyt] + L-Homocysteine_[cyt] => Tetrahydrofolate_[cyt] + L-Methionine_[cyt],R00946,C00440_[cyt] + C00155_[cyt] => C00101_[cyt] + C00073_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R194,sll1234,3.3.1.1,S-Adenosyl-L-homocysteine_[cyt] + H2O_[cyt] => Adenosine_[cyt] + L-Homocysteine_[cyt],R00192,C00021_[cyt] + C00001_[cyt] => C00212_[cyt] + C00155_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R195,slr0214,2.1.1.37,S-Adenosyl-L-methionine_[cyt] + DNA cytosine_[cyt] => S-Adenosyl-L-homocysteine_[cyt] + DNA 5-methylcytosine_[cyt],R04858,C00019_[cyt] + C00856_[cyt] => C00021_[cyt] + C02967_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R196,sll0927,2.5.1.6,Orthophosphate_[cyt] + Diphosphate_[cyt] + S-Adenosyl-L-methionine_[cyt] <= ATP_[cyt] + L-Methionine_[cyt] + H2O_[cyt],R00177,C00009_[cyt] + C00013_[cyt] + C00019_[cyt] <= C00002_[cyt] + C00073_[cyt] + C00001_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R197,sll1908,1.1.1.81,D-Glycerate_[cyt] + NADP+_[cyt] <=> Hydroxypyruvate_[cyt] + NADPH_[cyt] + H+_[cyt],R01392,C00258_[cyt] + C00006_[cyt] <=> C00168_[cyt] + C00005_[cyt] + C00080_[cyt],"Cysteine, Glycine, Methionine and Serine",B,Eisenhut et al. 2008
R198,sll1559,2.6.1.45,L-Serine_[cyt] + Glyoxylate_[cyt] <=> Hydroxypyruvate_[cyt] + Glycine_[cyt],R00588,C00065_[cyt] + C00048_[cyt] <=> C00168_[cyt] + C00037_[cyt],"Cysteine, Glycine, Methionine and Serine",A,"Eisenhut et al. 2008, BLAST search: 70 % identity, 565 score and E-value e-162 to Serine-Glyoxylate transaminase from Trichodesmium erythraeum IMS101"
R199,slr1840,2.7.1.165,ATP_[cyt] + D-Glycerate_[cyt] => ADP_[cyt] + 2-Phospho-D-glycerate_[cyt],R08572,C00002_[cyt] + C00258_[cyt] => C00008_[cyt] + C00631_[cyt],"Cysteine, Glycine, Methionine and Serine",A,"Eisenhut et al. 2008, Bartsch et al. 2008; BLAST search:  41.9 % identity, 201 score, E-value 3e-53 to glyerate kinase from Synechococcus sp. JA3-3Ab"
R200,slr0229,1.1.1.60,D-Glycerate_[cyt] + NADP+_[cyt] <= Tartronate semialdehyde_[cyt] + NADPH_[cyt] + H+_[cyt],R01747,C00258_[cyt] + C00006_[cyt] <= C01146_[cyt] + C00005_[cyt] + C00080_[cyt],"Cysteine, Glycine, Methionine and Serine",B,Eisenhut et al. 2008
R201,sll1981,4.1.1.47,2 Glyoxylate_[cyt] => Tartronate semialdehyde_[cyt] + CO2_[cyt],R00013,2 C00048_[cyt] => C01146_[cyt] + C00011_[cyt],"Cysteine, Glycine, Methionine and Serine",B,Eisenhut et al. 2008
R202,sll1556,1.2.3.5,Glyoxylate_[cyt] + Oxygen_[cyt] + H2O_[cyt] => Oxalate_[cyt] + H2O2_[cyt],R00466,C00048_[cyt] + C00007_[cyt] + C00001_[cyt] => C00209_[cyt] + C00027_[cyt],"Cysteine, Glycine, Methionine and Serine",B,Eisenhut et al. 2008
R203,sll0704,2.8.1.7,L-Cysteine_[cyt] + [enzyme]-cysteine_[cyt] => L-Alanine_[cyt] + [enzyme]-S-sulfanylcysteine_[cyt],R07460,C15811_[cyt] + C00097_[cyt] => C15812_[cyt] + C00041_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R204,slr0077,2.8.1.7,L-Cysteine_[cyt] + [enzyme]-cysteine_[cyt] => L-Alanine_[cyt] + [enzyme]-S-sulfanylcysteine_[cyt],R07460,C15811_[cyt] + C00097_[cyt] => C15812_[cyt] + C00041_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R205,slr0387,2.8.1.7,L-Cysteine_[cyt] + [enzyme]-cysteine_[cyt] => L-Alanine_[cyt] + [enzyme]-S-sulfanylcysteine_[cyt],R07460,C15811_[cyt] + C00097_[cyt] => C15812_[cyt] + C00041_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R206,sll0006,2.6.1.4,Glycine_[cyt] + 2-Oxoglutarate_[cyt] <=> Glyoxylate_[cyt] + L-Glutamate_[cyt],R00372,C00037_[cyt] + C00026_[cyt] <=> C00048_[cyt] + C00025_[cyt],"Cysteine, Glycine, Methionine and Serine",B,Eisenhut et al. 2008
R207,-,2.3.1.31,Acetyl-CoA_[cyt] + L-Homoserine_[cyt] => CoA_[cyt] + O-Acetyl-L-homoserine_[cyt],R01776,C00024_[cyt] + C00263_[cyt] => C00010_[cyt] + C01077_[cyt],"Cysteine, Glycine, Methionine and Serine",E,no pathway for the synthesis of methionine could been identified for Synechocystis sp. PCC6803; transferred pathyway from Microcystis aeruginosa
R208,-,2.5.1.49,O-Acetyl-L-homoserine_[cyt] + Hydrogen sulfide_[cyt] => L-Homocysteine_[cyt] + Acetate_[cyt],R01287,C01077_[cyt] + C00283_[cyt] => C00155_[cyt] + C00033_[cyt],"Cysteine, Glycine, Methionine and Serine",E,no pathway for the synthesis of methionine could been identified for Synechocystis sp. PCC6803; transferred pathyway from Microcystis aeruginosa
R209,slr0633,1.4.3.19,Glycine_[cyt] + H2O_[cyt] + Oxygen_[cyt] => Glyoxylate_[cyt] + NH3_[cyt] + H2O2_[cyt],R00366,C00037_[cyt] + C00001_[cyt] + C00007_[cyt] => C00048_[cyt] + C00014_[cyt] + C00027_[cyt],"Cysteine, Glycine, Methionine and Serine",C,"BLAST search: identity 70.6 %, score 936, E-value 0.0  to glycine oxidase from Cyanothece sp. PCC 8801"
R210,sll0895,3.1.3.7,3'-Phosphoadenylyl sulfate_[cyt] + H2O_[cyt] => Adenylyl sulfate_[cyt] + Orthophosphate_[cyt],R00508,C00053_[cyt] + C00001_[cyt] => C00224_[cyt] + C00009_[cyt],"Cysteine, Glycine, Methionine and Serine",D,"sll0895 is coding for CysQ, which is annotated in many organisms for 3.1.3.7"
R211,sll1682,1.4.1.1,Glycine_[cyt] + H2O_[cyt] + NAD+_[cyt] <=> Glyoxylate_[cyt] + NH3_[cyt] + NADH_[cyt] + H+_[cyt],R00365,C00037_[cyt] + C00001_[cyt] + C00003_[cyt] <=> C00048_[cyt] + C00014_[cyt] + C00004_[cyt] + C00080_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R212,-,4.1.1.50,S-Adenosyl-L-methionine_[cyt] + H+_[cyt] => S-Adenosylmethioninamine_[cyt] + CO2_[cyt],R00178,C00019_[cyt] + C00080_[cyt] => C01137_[cyt] + C00011_[cyt],"Cysteine, Glycine, Methionine and Serine",E,No genes could be identified; Jantaro et al. 2003
R213,slr0990,6.3.2.2,ATP_[cyt] + L-Glutamate_[cyt] + L-Cysteine_[cyt] => ADP_[cyt] + Orthophosphate_[cyt] + gamma-L-Glutamyl-L-cysteine_[cyt],R00894,C00002_[cyt] + C00025_[cyt] + C00097_[cyt] => C00008_[cyt] + C00009_[cyt] + C00669_[cyt],Glutathione,C,"BLAST Search: 68 % identity, 540 score, E-value e-155 to glutamate-cysteine ligase from Cyanothece sp. PCC 8801"
R214,slr1238,6.3.2.3,ATP_[cyt] + gamma-L-Glutamyl-L-cysteine_[cyt] + Glycine_[cyt] => ADP_[cyt] + Orthophosphate_[cyt] + Glutathione_[cyt],R00497,C00002_[cyt] + C00669_[cyt] + C00037_[cyt] => C00008_[cyt] + C00009_[cyt] + C00051_[cyt],Glutathione,A,
R215,slr1269,2.3.2.2,Glutathione_[cyt] + H2O_[cyt] => Cys-Gly_[cyt] + L-Glutamate_[cyt],R00494,C00051_[cyt] + C00001_[cyt] => C01419_[cyt] + C00025_[cyt],Glutathione,A,
R216,sll1343,3.4.11.2,Cys-Gly_[cyt] + H2O_[cyt] => L-Cysteine_[cyt] + Glycine_[cyt],R00899,C01419_[cyt] + C00001_[cyt] => C00097_[cyt] + C00037_[cyt],Glutathione,A,
R217,sll2001,3.4.11.1,Cys-Gly_[cyt] + H2O_[cyt] => L-Cysteine_[cyt] + Glycine_[cyt],R00899,C01419_[cyt] + C00001_[cyt] => C00097_[cyt] + C00037_[cyt],Glutathione,A,
R218,sll1908,1.1.1.95,3-Phospho-D-glycerate_[cyt] + NAD+_[cyt] <=> 3-Phosphonooxypyruvate_[cyt] + NADH_[cyt] + H+_[cyt],R01513,C00197_[cyt] + C00003_[cyt] <=> C03232_[cyt] + C00004_[cyt] + C00080_[cyt],"Cysteine, Glycine, Methionine and Serine",A,
R219,-,2.6.1.52,O-Phospho-L-serine_[cyt] + 2-Oxoglutarate_[cyt] <=> 3-Phosphonooxypyruvate_[cyt] + L-Glutamate_[cyt],R04173,C01005_[cyt] + C00026_[cyt] <=> C03232_[cyt] + C00025_[cyt],"Cysteine, Glycine, Methionine and Serine",E,unknown transaminase
R220,slr1124,3.1.3.3,O-Phospho-L-serine_[cyt] + H2O_[cyt] => L-Serine_[cyt] + Orthophosphate_[cyt],R00582,C01005_[cyt] + C00001_[cyt] => C00065_[cyt] + C00009_[cyt],"Cysteine, Glycine, Methionine and Serine","C,D","BLAST search: Identity 31 %, Score 102, E-value 2e-23 to PspA of Hydrogenobacter thermophilus PspA; Chiba et al. 2012"
R221,sll0593,2.7.1.2,ATP_[cyt] + D-Glucose_[cyt] => ADP_[cyt] + D-Glucose 6-phosphate_[cyt],R00299,C00002_[cyt] + C00031_[cyt] => C00008_[cyt] + C00092_[cyt],Glycolysis and Sugar,A,
R222,slr0329,2.7.1.2,ATP_[cyt] + D-Glucose_[cyt] => ADP_[cyt] + D-Glucose 6-phosphate_[cyt],R00299,C00002_[cyt] + C00031_[cyt] => C00008_[cyt] + C00092_[cyt],Glycolysis and Sugar,A,
R223,slr1349,5.3.1.9,D-Glucose 6-phosphate_[cyt] <=> D-Fructose 6-phosphate_[cyt],R00771,C00092_[cyt] <=> C00085_[cyt],Glycolysis and Sugar,A,
R224,slr0952,3.1.3.11,"D-Fructose 1,6-bisphosphate_[cyt] + H2O_[cyt] => D-Fructose 6-phosphate_[cyt] + Orthophosphate_[cyt]",R00762,C00354_[cyt] + C00001_[cyt] => C00085_[cyt] + C00009_[cyt],Glycolysis and Sugar,A,
R225,slr2094,3.1.3.11,"D-Fructose 1,6-bisphosphate_[cyt] + H2O_[cyt] => D-Fructose 6-phosphate_[cyt] + Orthophosphate_[cyt]",R00762,C00354_[cyt] + C00001_[cyt] => C00085_[cyt] + C00009_[cyt],Glycolysis and Sugar,A,
R226,sll0745,2.7.1.11,"ATP_[cyt] + D-Fructose 6-phosphate_[cyt] => ADP_[cyt] + D-Fructose 1,6-bisphosphate_[cyt]",R00756,C00002_[cyt] + C00085_[cyt] => C00008_[cyt] + C00354_[cyt],Glycolysis and Sugar,A,
R227,sll1196,2.7.1.11,"ATP_[cyt] + D-Fructose 6-phosphate_[cyt] => ADP_[cyt] + D-Fructose 1,6-bisphosphate_[cyt]",R00756,C00002_[cyt] + C00085_[cyt] => C00008_[cyt] + C00354_[cyt],Glycolysis and Sugar,A,
R228,sll0018,4.1.2.13,"D-Fructose 1,6-bisphosphate_[cyt] <=> Glycerone phosphate_[cyt] + D-Glyceraldehyde 3-phosphate_[cyt]",R01068,C00354_[cyt] <=> C00111_[cyt] + C00118_[cyt],Glycolysis and Sugar,A,Nakahara et al. 2003
R229,slr0943,4.1.2.13,"D-Fructose 1,6-bisphosphate_[cyt] <=> Glycerone phosphate_[cyt] + D-Glyceraldehyde 3-phosphate_[cyt]",R01068,C00354_[cyt] <=> C00111_[cyt] + C00118_[cyt],Glycolysis and Sugar,A,Nakahara et al. 2003
R230,slr0783,5.3.1.1,D-Glyceraldehyde 3-phosphate_[cyt] <=> Glycerone phosphate_[cyt],R01015,C00118_[cyt] <=> C00111_[cyt],Glycolysis and Sugar,A,
R231,sll1342,1.2.1.59,D-Glyceraldehyde 3-phosphate_[cyt] + Orthophosphate_[cyt] + NADP+_[cyt] <= 3-Phospho-D-glyceroyl phosphate_[cyt] + NADPH_[cyt] + H+_[cyt],R01063,C00118_[cyt] + C00009_[cyt] + C00006_[cyt] <= C00236_[cyt] + C00005_[cyt] + C00080_[cyt],Glycolysis and Sugar,A,
R232,slr0884,1.2.1.12,D-Glyceraldehyde 3-phosphate_[cyt] + Orthophosphate_[cyt] + NAD+_[cyt] => 3-Phospho-D-glyceroyl phosphate_[cyt] + NADH_[cyt] + H+_[cyt],R01061,C00118_[cyt] + C00009_[cyt] + C00003_[cyt] => C00236_[cyt] + C00004_[cyt] + C00080_[cyt],Glycolysis and Sugar,A,
R233,slr0394,2.7.2.3,ATP_[cyt] + 3-Phospho-D-glycerate_[cyt] <=> ADP_[cyt] + 3-Phospho-D-glyceroyl phosphate_[cyt],R01512,C00002_[cyt] + C00197_[cyt] <=> C00008_[cyt] + C00236_[cyt],Glycolysis and Sugar,A,
R234,slr1748,5.4.2.1,2-Phospho-D-glycerate_[cyt] <=> 3-Phospho-D-glycerate_[cyt],R01518,C00631_[cyt] <=> C00197_[cyt],Glycolysis and Sugar,A,"BLAST search: identity 71%,  score 331, E-value 9e-93 to Phosphoglycerate mutase from Cyanothece sp. PCC 7424"
R235,slr1124,5.4.2.1,2-Phospho-D-glycerate_[cyt] <=> 3-Phospho-D-glycerate_[cyt],R01518,C00631_[cyt] <=> C00197_[cyt],Glycolysis and Sugar,A,
R236,slr1945,5.4.2.1,2-Phospho-D-glycerate_[cyt] <=> 3-Phospho-D-glycerate_[cyt],R01518,C00631_[cyt] <=> C00197_[cyt],Glycolysis and Sugar,A,
R237,sll0395,5.4.2.1,2-Phospho-D-glycerate_[cyt] <=> 3-Phospho-D-glycerate_[cyt],R01518,C00631_[cyt] <=> C00197_[cyt],Glycolysis and Sugar,A,Phosphoglycerate mutase
R238,slr0752,4.2.1.11,2-Phospho-D-glycerate_[cyt] <=> Phosphoenolpyruvate_[cyt] + H2O_[cyt],R00658,C00631_[cyt] <=> C00074_[cyt] + C00001_[cyt],Glycolysis and Sugar,A,
R239,sll0726,5.4.2.2,D-Glucose 1-phosphate_[cyt] <=> D-Glucose 6-phosphate_[cyt],R08639,C00103_[cyt] <=> C00092_[cyt],Glycolysis and Sugar,A,
R240,slr1448,2.7.1.4,ATP_[cyt] + D-Fructose_[cyt] <=> ADP_[cyt] + D-Fructose 6-phosphate_[cyt],R00760,C00002_[cyt] + C00095_[cyt] <=> C00008_[cyt] + C00085_[cyt],Glycolysis and Sugar,A,
R241,slr0493,5.3.1.8,D-Mannose 6-phosphate_[cyt] <=> D-Fructose 6-phosphate_[cyt],R00772,C00275_[cyt] <=> C00085_[cyt],Glycolysis and Sugar,A,
R242,sll1496,5.4.2.8,D-Mannose 6-phosphate_[cyt] <=> D-Mannose 1-phosphate_[cyt],R01818,C00275_[cyt] <=> C00636_[cyt],Glycolysis and Sugar,A,
R243,slr1334,5.4.2.8,D-Mannose 6-phosphate_[cyt] <=> D-Mannose 1-phosphate_[cyt],R01818,C00275_[cyt] <=> C00636_[cyt],Glycolysis and Sugar,A,
R244,sll1496,2.7.7.13,GTP_[cyt] + D-Mannose 1-phosphate_[cyt] => Diphosphate_[cyt] + GDP-mannose_[cyt],R00885,C00044_[cyt] + C00636_[cyt] => C00013_[cyt] + C00096_[cyt],Glycolysis and Sugar,A,
R245,sll1558,2.7.7.13,GTP_[cyt] + D-Mannose 1-phosphate_[cyt] => Diphosphate_[cyt] + GDP-mannose_[cyt],R00885,C00044_[cyt] + C00636_[cyt] => C00013_[cyt] + C00096_[cyt],Glycolysis and Sugar,A,
R246,sll1370,2.7.7.22,GDP_[cyt] + D-Mannose 1-phosphate_[cyt] => Orthophosphate_[cyt] + GDP-mannose_[cyt],R00883,C00035_[cyt] + C00636_[cyt] => C00009_[cyt] + C00096_[cyt],Glycolysis and Sugar,A,
R247,slr2074,2.7.7.22,GDP_[cyt] + D-Mannose 1-phosphate_[cyt] => Orthophosphate_[cyt] + GDP-mannose_[cyt],R00883,C00035_[cyt] + C00636_[cyt] => C00009_[cyt] + C00096_[cyt],Glycolysis and Sugar,A,
R248,sll0207,2.7.7.24,dTTP_[cyt] + D-Glucose 1-phosphate_[cyt] => Diphosphate_[cyt] + dTDP-glucose_[cyt],R02328,C00459_[cyt] + C00103_[cyt] => C00013_[cyt] + C00842_[cyt],Glycolysis and Sugar,A,
R249,slr0983,2.7.7.33,CTP_[cyt] + D-Glucose 1-phosphate_[cyt] => Diphosphate_[cyt] + CDP-glucose_[cyt],R00956,C00063_[cyt] + C00103_[cyt] => C00013_[cyt] + C00501_[cyt],Glycolysis and Sugar,A,
R250,sll0244,5.1.3.2,dTDP-glucose_[cyt] <=> dTDP-galactose_[cyt],R02984,C00842_[cyt] <=> C02097_[cyt],Glycolysis and Sugar,A,
R251,slr1067,5.1.3.2,dTDP-glucose_[cyt] <=> dTDP-galactose_[cyt],R02984,C00842_[cyt] <=> C02097_[cyt],Glycolysis and Sugar,A,
R252,slr1078,5.1.3.2,dTDP-glucose_[cyt] <=> dTDP-galactose_[cyt],R02984,C00842_[cyt] <=> C02097_[cyt],Glycolysis and Sugar,A,
R253,slr0809,4.2.1.46,"dTDP-glucose_[cyt] => 4,6-Dideoxy-4-oxo-dTDP-D-glucose_[cyt] + H2O_[cyt]",R06513,C00842_[cyt] => C11907_[cyt] + C00001_[cyt],Glycolysis and Sugar,A,
R254,slr0836,4.2.1.46,"dTDP-glucose_[cyt] => 4,6-Dideoxy-4-oxo-dTDP-D-glucose_[cyt] + H2O_[cyt]",R06513,C00842_[cyt] => C11907_[cyt] + C00001_[cyt],Glycolysis and Sugar,A,
R255,slr0985,5.1.3.13,"4,6-Dideoxy-4-oxo-dTDP-D-glucose_[cyt] => dTDP-4-dehydro-6-deoxy-L-mannose_[cyt]",R06514,C11907_[cyt] => C00688_[cyt],Glycolysis and Sugar,A,
R256,slr1933,5.1.3.13,"4,6-Dideoxy-4-oxo-dTDP-D-glucose_[cyt] => dTDP-4-dehydro-6-deoxy-L-mannose_[cyt]",R06514,C11907_[cyt] => C00688_[cyt],Glycolysis and Sugar,A,
R257,sll1395,1.1.1.133,dTDP-6-deoxy-L-mannose_[cyt] + NADP+_[cyt] <= dTDP-4-dehydro-6-deoxy-L-mannose_[cyt] + NADPH_[cyt] + H+_[cyt],R02777,C03319_[cyt] + C00006_[cyt] <= C00688_[cyt] + C00005_[cyt] + C00080_[cyt],Glycolysis and Sugar,A,
R258,-,2.7.7.9,UTP_[cyt] + D-Glucose 1-phosphate_[cyt] <=> Diphosphate_[cyt] + UDP-glucose_[cyt],R00289,C00075_[cyt] + C00103_[cyt] <=> C00013_[cyt] + C00029_[cyt],Glycolysis and Sugar,E,no gene could be identified for UDP-glucose phosphorylase (2.7.7.9.)
R259,sll0244,5.1.3.2,UDP-glucose_[cyt] <=> UDP-D-galactose_[cyt],R00291,C00029_[cyt] <=> C00052_[cyt],Glycolysis and Sugar,A,
R260,slr0091,1.2.1.3,D-Glyceraldehyde_[cyt] + NAD+_[cyt] + H2O_[cyt] <=> D-Glycerate_[cyt] + NADH_[cyt] + H+_[cyt],R01752,C00577_[cyt] + C00003_[cyt] + C00001_[cyt] <=> C00258_[cyt] + C00004_[cyt] + C00080_[cyt],Glycolysis and Sugar,A,
R261,slr0942,1.1.1.2,Glycerol_[cyt] + NADP+_[cyt] <=> D-Glyceraldehyde_[cyt] + NADPH_[cyt] + H+_[cyt],R01041,C00116_[cyt] + C00006_[cyt] <=> C00577_[cyt] + C00005_[cyt] + C00080_[cyt],Glycolysis and Sugar,A,
R262,slr1672,2.7.1.30,ATP_[cyt] + Glycerol_[cyt] => ADP_[cyt] + sn-Glycerol 3-phosphate_[cyt],R00847,C00002_[cyt] + C00116_[cyt] => C00008_[cyt] + C00093_[cyt],Glycolysis and Sugar,A,
R263,slr1755,1.1.1.94,sn-Glycerol 3-phosphate_[cyt] + NAD+_[cyt] <=> Glycerone phosphate_[cyt] + NADH_[cyt] + H+_[cyt],R00842,C00093_[cyt] + C00003_[cyt] <=> C00111_[cyt] + C00004_[cyt] + C00080_[cyt],Glycolysis and Sugar,A,
R264,sll1085,1.1.5.3,sn-Glycerol 3-phosphate_[cyt] + PQ_[tlm] => Glycerone phosphate_[cyt] + PQH2_[tlm],-,C00093_[cyt] + C10385_[tlm] => C00111_[cyt] + C16695_[tlm],Glycolysis and Sugar,A,
R265,sll1085,1.1.5.3,sn-Glycerol 3-phosphate_[cyt] + PQ_[cym] => Glycerone phosphate_[cyt] + PQH2_[cym],-,C00093_[cyt] + C10385_[cym] => C00111_[cyt] + C16695_[cym],Glycolysis and Sugar,A,
R266,sll0045,2.4.1.14,UDP-glucose_[cyt] + D-Fructose 6-phosphate_[cyt] => UDP_[cyt] + Sucrose 6'-phosphate_[cyt],R00766,C00029_[cyt] + C00085_[cyt] => C00015_[cyt] + C02591_[cyt],Glycolysis and Sugar,A,
R267,slr0953,3.1.3.24,Sucrose 6'-phosphate_[cyt] + H2O_[cyt] => Sucrose_[cyt] + Orthophosphate_[cyt],R00805,C02591_[cyt] + C00001_[cyt] => C00089_[cyt] + C00009_[cyt],Glycolysis and Sugar,B,Lunn 2002
R268,slr0839,4.99.1.1,Protoporphyrin_[cyt] + Fe2+_[cyt] => Heme_[cyt] + 2 H+_[cyt],R00310,C02191_[cyt] + C14818_[cyt] => C00032_[cyt] + 2 C00080_[cyt],Heme,A,
R269,sll1899,2.5.1.-,"Heme_[cyt] + H2O_[cyt] + trans,trans-Farnesyl diphosphate_[cyt] <=> Heme O_[cyt] + Diphosphate_[cyt]",R07411,C00032_[cyt] + C00001_[cyt] + C00448_[cyt] <=> C15672_[cyt] + C00013_[cyt],Heme,A,
R270,sll1898,-,Heme O_[cyt] + H2O_[cyt] <=> Heme A_[cyt] + 4 H+_[cyt],R07412,C15672_[cyt] + C00001_[cyt] <=> C15670_[cyt] + 4 C00080_[cyt],Heme,A,
R271,"sll0900, slr1560",2.4.2.17,1-(5-Phospho-D-ribosyl)-ATP_[cyt] + Diphosphate_[cyt] <= ATP_[cyt] + 5-Phospho-alpha-D-ribose 1-diphosphate_[cyt],R01071,C02739_[cyt] + C00013_[cyt] <= C00002_[cyt] + C00119_[cyt],Histidine,A,
